filename,ground_truth,ocr_text,CER,WER
bill1.jpeg,"BIG MART
** MEGA MART PVT. LTD. **
Jhamsikhel, Lalitpur
Mobile: 9802314421
www.bigmart.com.np
VAT NO: 303408110
** Abbreviated Tax Invoice **

Bill Date : 23/Aug/2025
Bill No: 268/CM/000021759/Aug/25
Customer: Ms. Cizita Gautam
CRM No.: BM_JL2_11745
PANNO:

Particulars         Qty   NetRate  NetAmt
1). WEIKFIELD BAKI NG POWDER 1    1.00   50.00   50.00
2). MAXICHOC CHOC 0 CHIPS 200,    1.00  200.00  200.00
3). PALPASH COCO P 100G           1.00  116.00  116.00
4). NDS VANILLA IC E CREAM 500,   1.00  200.00  200.00

NetTotal: 4.00    566.00
GrossAnt : 566.00
Grand Total : 566.00
Rs. Five Hundred Sixty-Six Only
Fone Pay : 566.00
Customer Paid: 566.00 Refund: 0.00
E.&O.E TIME: 9:55 am Binaya Nepali

CONDITIONS APPLY
1. Exchange/Return within 7 days with Receipt except Saturday.
No of Print: 1
Thank You For Shopping At BIG MART","BIG MART XX MEGA MART Put, LTD _ XX Jhamsikhe] , Lalitpur Mobi Ie: 9802314421 WWw. bigmart,Com,nP VAT NO_ 303408110 Abbreviated Tax Invoice %* Bill Date 23/0u9/2025 Bill No: 268/CM/00021759/Aug/25 Customer : Ms _ Cizita Gautam CRM No_ BM_JL2_11745 PANNO  Particulars Qty NetRate NetAmt 1) _ WEIKFIELd BAKi 1.00 50. 00 50.00 NG  POWDER 1 HSCODE:21.02 2) , MAXichOCO ChOc 1.00 200.00 200.00 0 CHIPS 200 _ HSCODE: 3) PALPASH COCO P 1.00 116.00 116.00 OWDER 100G , HSCODE: 4) NdS VANILLA IC 1.00 200.00 200.00 E CREAM 500 _ HSCODE: Net Total: 4.00 566 . 00 GrossAmt 566.00 Grand Total 566. 00 Rs _u Five Hundred Sixty-Six Only Fone Pay 566.00 Customer Paid: 566 . OORefund: 0.00 9 E.& O.E TIME: 9:55 am Binaya Nepali C 0 n d I T [ 0 n $ 0 P P L Y 1 _ Exchange/Return Within 7 days With Receipt except Saturday _ No of Print: 1 Thank  You For Shopping At BIG KART",0.3137724550898204,1.65625
bill2.jpeg,"Pizza Hood Nepal
Jhamsikhel, Lalitpur
PROFORMA INVOICE
Tel No: 9818447082

Date : 08/06/2025 (2082/04/21)  Time:
DELIVERY : D1
Customer: 
Address: 

Qty  Description                      Rate  Amount
1.0  Extra Black Olive topping 12 in  150.00 150.00
1.0  Extra Chicken topping 12 inch    150.00 150.00
1.0  Extra Mushroom topping 12 inch   150.00 150.00
1.0  Margherita 12 inch               550.00 550.00

Sub Total : 1000.00
Discount : 0.00
Total : 1000.00

By: Dev Raj
Print Date: 8/6/2025 2:16 PM
NOTE: THIS IS NOT VALID FOR REFUND","Pizza Hood Nepal Jhamsikhel,Lalitpur PROFORMA INVOICE PAN No Tel No : 9818447082 DELIVERY D1 Date : 08/06/2025 2082/04/21 Time Customer : Address : PAN No. : Pax : 1 Qty Description Rate Arount 1.0 Extra Black Olive 150.00 150 0Q topping 12 Inch 1.0 Extra Chicken topping 150.00 150.00 12 Inch 1,0 Extra Mushroom 150,00 150.00 topping 12 Inch 1.0 Margherita 12 inch 550.00 550.00 Sub Total 1,000.00 Discount 0.00 Signature Total 1,000.00 Mode By Dev Raj Print Date 8/6/2025 2.16 PM NOTE- THIS IS NOT VALID FOR REFUND:",0.38361266294227186,1.85
bill3.jpeg,"KAILASH PHARMACY
LALITPUR-4, LALITPUR
PAN: 605666322

Transaction Date : 2082/04/09 08:36:00 AM
Invoice No: CASR000315
Pay Mode: Cash

Particulars: VAZORTAN 50 MG  
Qty: 100  Rate: 7.60  Amount: 760.00  
Batch: D04294  Expiry: APR 27  

Total : 760.00  
Discount : 60.00  
Net Amount : 700.00  
Inwords: Rs. SEVEN HUNDRED ONLY  

User: SUPERVISOR","KAILASH PHARMACY LALITPUR-4, LALITPUR PAN: 605/66322 01-5440000 INVOICE Transaction Date 2082;. 4/09 08.36.00 AM Invoice Issue Date 2082/04/09 Invoice No. CASRC.000315 Mode: Cash Nare: Add PAN Sn Particular (s) Rate Amourt VAZORTAN 50 MG 100 7.60 760.00 HS#: Batch: D40294 Expiry: APR 27 100) Total 760.00 Discount 60.00 CUSTOMER cOPY Net Amount 700.00 Iivvords Fs SEVEN HUNDREDONLY Note User SUPERVISOR Pay Qty:",0.5260115606936416,3.38
bill4.jpeg,"Horizon Mart Pvt. Ltd.
Jhamsikhel, Lalitpur
VAT NO: 619758246

Bill No: S113534-MMX-82/83
Date: 08/25/2025
Item: TWIX CHOCOLAT 1 pc  
Rate: 140.00  Amount: 140.00  

Gross Amount: 140.00  
Discount: 0.00  
Net Amount: 140.00  
Tender: 150.00  
Change: 10.00  

Cashier: Anjana",,,
bill5.jpeg,"Horizon Mart Pvt. Ltd.
Jhamsikhel, Lalitpur
VAT NO: 619758246

Bill No: S113535-MMX-82/83
Date: 08/25/2025
Customer: Cizita Gautam

Items:
Parle Hine & Parle Hine An – 50 + 65  
Lays Potato – 80  
Munchy Muzic – 205  
Alpenliebe Juice – 80  
Current Hot – 50  
Current Cheese – 60  

Gross Amount: 640.00  
Discount: 0.00  
Net Amount: 640.00  
Tender: 700.00  
Change: 60.00  

Cashier: Anjana",,,
bill6.jpeg,"Freshktm Agro Pvt. Ltd.
Jhamsikhel
VAT NO: 608991700

Bill No: TI90-JSK-82/83
Date: 07/18/2025

Item: Green Chilli  
Qty: 0.17 kg @ 120  
Amount: 20.40  

Gross Amount: 20.40  
Net Amount: 20.40  
Tender: 20.40  
Change: 0.00  

Cashier: Rita",,,
bill7.jpeg,"BIG MART
** MEGA MART PVT. LTD. **
Bill Date: 02/Aug/2025
Bill No: 268/CM/00009623/Aug/25

Item: A.N.S SHOPPIN G BAG  
Qty: 1  
Rate: 40.00  
Amount: 40.00  

NetTotal: 40.00  
Grand Total: 40.00  
Cash Paid: 50.00  
Refund: 10.00  

Cashier: Bijay Malla",,,
bill8.jpeg,"BIG MART
** MEGA MART PVT. LTD. **
Bill Date: 02/Aug/2025
Bill No: 268/CM/00009621/Aug/25
Customer: Ms. Cizita Gautam

Items:
Mango Chosa – 275.95  
Watermelon Long Black – 327.75  
Big Choice Dal Moong – 271.00  
Showan Fat Crackers – 380.00  
McVities Digestive – 560.00  
Big Choice Rahar – 200.00  
Onion Red – 58.80  

NetTotal: 2074.00  
Gross Amount: 2087.75  
Promo Discount: -14.25  
Grand Total: 2073.50  
Paid by FonePay  

Cashier: Bijay Malla",,,
bill9.jpeg,"Bhat-Bhateni Super Market (Patan)
VAT NO: 300142048
Invoice Date: 08/03/2082
Customer: Cizal Gautam

Items:
Panda Kitch – 230  
BRSM Almond – 766  
Haldiram PL – 284  
Spartan SPI – 55  
Super Grow – 347  
Dial Pitamb – 57  
Vim Bar – 180  
Colgate Her – 240  
Pepsodent W – 82  

Net Amount: 2221.00  
Tender: 2500.00  
Change: 279.00",,,
bill10.jpeg,"www.salesberry.com.np
Thank you for visiting us.

Counter : SATDOBATO (11:08AM)
: TERMINAL2
Cashier : SANJAY
--------------------------------------------------
Saleways Cash & Carry Pvt. Ltd.
SATDOBATO, NEPAL
VAT No. : 601856149
ABBREVIATED TAX INVOICE

Bill No: S11915023-SDB-81/82
Date : 06/21/2025
Miti : 07/03/2082
Name :
Address :
Mob No :
PAN No :
Payment Mode : FonePay
Point Earned :
Total Points :
Message :
--------------------------------------------------
Sn| Particulars :|Qty| Rate |Amount|
--------------------------------------------------
1 MISHWAS 3 ANGLES M 1 60 60
HS CODE:
2 CHUPA CHUPS SOUR 1 100 100
HS CODE:
3 SUNFEAST DARK FAN 1 90 90
HS CODE:
4 MUNCHY WAFER TWIG 1 205 205
HS CODE:
5 GLICO POCKY STICK 1 162 162
HS CODE:
6 CHAMPAX WHITE CAN 1 50 50
HS CODE:
7 NONG SHIM SHIN R 1 250 250
HS CODE:
8 CURRENT BUCK WHEA 1 60 60
HS CODE:
9 SHOONDI MILKSHAKE 1 60 60
HS CODE:
10 SHOONDI MILKSHAKE 1 60 60
HS CODE:
11 DRUK PINEAPPLE FR 1 95 95
HS CODE:
--------------------------------------------------
Gross Amount : 1192.00
Discount : 0.00
Net Amount : 1192.00
--------------------------------------------------
Tender : 1192.00
Change : 0.00
--------------------------------------------------
Total Qty : 11.00

Rs. One thousand one hundred ninety-two only","Shop wwH.salesberry Con.nP Thank you for visiting uS. SATDOBATO 11;084M Counter TERMINALZ Cashier SaNJAY Saleways Cash Carry Pvt. Ltd. SATDOBATO,NEPAL Vat No. 601856169 ABBREVIATED TAX INVOICE Bill NO: S1191503-SDB-81/82 Date 06/21/2025 Niti 07 /03/2082 Nare Address: NOB Na Pak No Payuent Hode FonePay Point Earned Total Points Hessage: Sn' Particulars 'Aty' Rate 'Amount' MishAS 3 ANGLES N 60 HS CODE: ckupa CHUPs SOUR 100 100 HS CODE: SUNFEAST DARk FAN 90 HS CODE: Munchy WAFER TWIG 205 205 hS CODE: GLICO POCkY STICK 162 132 kS CODE; ChampAk WKITE CAN 50 hS CODE: NONG SkIM  SHRIM 0 250 250 hs CODE; CURRENT BUCk WHEA 6U hS CODE; shoodk HILKSHAKE 60 60 HS CODE: 10 SMoodH   MILKSHAKE 60 hs  CODE: DRUK PINEAPPLE FR 95 HS CODE: Oross Amount 1192 Discount 0.00 Net Amount 1192 . 00 Tender 1192 . O0 Change 0.00 Total Uty 11 .00 Rs .   Une thousand one hundred ninety-two nly only",0.4440969507427678,2.6884422110552766
bill11.jpeg,"BHAT-BHATENI SUPER MARKET(SATDOBATO)
SATDOBATO, LALITPUR
VAT No: 300142084
ABBREVIATED TAX INVOICE

Bill #: S1380653-SAT-081/82
Transaction Date: 14/01/2082
Invoice Date : 14/01/2082
Bill To:
Address:
PAN No:
Payment Mode : CreditCard
--------------------------------------------------
Sn Particulars  Qty  Rate  Amount
1 SHOPPING BA   1    39.00   39.00
HSC:
2 FASHION DWA   1  1289.00 1289.00
HSC:
3 LADY KURTI    1  1119.00 1119.00
HSC:
--------------------------------------------------
Gross Amount : 2447.00
Dis : 111.90
Net Amount : 2335.10
--------------------------------------------------
Tender : 2335.10
Change : 0.00
--------------------------------------------------
Total Qty : 3

WELCOME TO GREAT SHOPPING EXPERIENCE
EXCHANGE IN 7 DAYS WITH INVOICE
BETWEEN 10-8PM (Tel:01-5151497/376)
**CONDITIONS APPLY**

Counter : TERMINAL C3 (3:53:05 PM)","BHAT-BHATENI   SUPER MARKET ( SATDOBATO) SATDOBATO , LALITPUR VAT No; 300142084 ABBREVIATED TAX INVOICE Bill 5i380653-SAT-081/82 Transaction Date 14/01/2082 Invoice Date 4/01/2082 Bill To: Address: Pan No Payment Hode CreditCard Sn Particulars Qty Rate Amount ShoppInG BA 39.o0 39.00 HSC: FashiON DWA 1289.00 1289.00 HSC: Lady KURTI 1119.00 1119.00 HSC; Gross Amount 2447.00 Dis 111.90 Net Amount 2335.10 Tender 2335.10 Change 0.@o Total Qty WELCOME To GREAT shopping EXPERIENCE EXCHANGE In Days WiTH INVOICE BETWEEN 10-8PM Tel:01-5151497/376) ##Conditions APPLY*Y Counter TERHINAL Cz (3:53305 PM) Gashier & shenti",0.4224037339556593,3.0679611650485437
bill12.jpg,"POOL SIDE RESTAURANT

Guest Name:
Buyer’s Name:
Buyers Pan:
Address:
Attendant: DIPESH THAPA

Table : PS-3
--------------------------------------------------
SN Description        Qty   Rate    Amt
1 AMERICAN CHOPSUEY   1.00  548.67  548.67
2 MINERAL WATER       1.00   44.25   44.25
3 MUSTANG ALOO        1.00  407.08  407.08
4 VEG FRIED RICE      1.00  358.41  358.41
--------------------------------------------------
Sub Total : 1358.41
Taxable Amount : 1358.41
13% Vat : 176.59
--------------------------------------------------
Grand Total : 1535.00

NOTE: THIS IS NOT A FINAL TAX BILL.",,,
bill13.jpeg,"BB
KOT/BOT/COT ORDER

Order No: SOL-012225   Date: 24/06/2025
Miti: 10/03/2082
Table: L5
--------------------------------------------------
SN Particulars        Qty  Rate   Amount
1 Peach Iced Tea       1   225.00  225.00
2 Fresh Lime Soda      1   195.00  195.00
3 ICED LATTE           1   265.00  265.00
4 Mustang aloo (D)     1   355.00  355.00
5 Water                1    40.00   40.00
6 Tandoori Pizza       1   690.00  690.00
7 French Fries         1   290.00  290.00
--------------------------------------------------
Basic Amount : 2020.00
Total : 2020.00

In word : Rs. Two Thousand and Twenty only

Counter : COUNTER1   Time : 04:01PM
Cashier : Nayauma

This Order List is not Invoice
Please Collect Invoice From Counter
THANK YOU","BE Kot /BoT/CoT ORDER Order No: SOL-012225 Date: 24/06/2025 Table L5 Miti 10/03/2082 SN, Particulars Qty Rate Amount Peach Iced Tea 225. 00 225. 00 2. Fresh Lime Soda 195. 00 195. 00 ICED LATTE 265. 00 265. 00 Mustang aloo (D) 355. 00 355. 00 Water 40. 00 40, 00 Tandoori Pizza 650. 00 650. 00 7 French Fries 29o. 00 290. 00 Basic Amount 2020. 00 Total 2020. 00 In word Rs Two   Thousand and Twenty only Counter COUNTERT Time 04:OIPM Cashier Nayauma This Order List is not Invoice Please Col lect  Invoice From Counter THANK   YOU",0.407557354925776,1.8613861386138615
bill14.jpeg,"Customer Reference Only
NOTE: THIS IS NOT VALID FOR REFUND.

KOT & BOT Orders
Date: 06/27/2025 2082/03/13  Order #: 744420
LOBBY : L6
--------------------------------------------------
Qty  Description            Rate   Amount
1.0 Brownie with ice cream  399.00  399.00
1.0 Cafe mocha              230.00  230.00
1.0 Mix Veg Noodle          350.00  350.00
1.0 Potato Wedges           299.00  299.00
1.0 Sadeko Momo             350.00  350.00
1.0 Watermelon Juice        199.00  199.00
--------------------------------------------------
Total (Discounts & All Taxes) : 1827.00

One Thousand Eight Hundred Twenty-Seven And Zero Paisa Only","ustomer Reference Only NOTE: THIS IS NOT VALID FOR REFUND KOT & BOT Orders Date 06/27/2025 2082/03/13 Ord 744420 LOBBY : L6 Qty Description Rate Amount 1.0 Brownie with ice 399.00 399.00 cream 1,.0 Cafe mocha 230,00 230.00 1.0 Mix Veg Noodle 350.00 350 00 1.0 Potato Wedges 299.00 299 Qo 1.0 Sadeko Momo 350.00 351 QQ 1,0 Watermelon Juice 199.00 199 00 Total (Discounts & AIl Taxes} 1,827.00 One Thousand Eight Hundred Twenty-Seven And Zero Paisa Only",0.3553459119496855,1.7820512820512822
